Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10uF 100V","C_2220_5750Metric",42.000000,-51.000000,-90.000000,bottom
"C6","22uF 25V","C_1210_3225Metric",92.000000,-43.500000,0.000000,bottom
"R47","10k","R_0603_1608Metric",91.505000,-6.755000,0.000000,bottom
"R51","10k","R_0603_1608Metric",115.005000,-6.755000,0.000000,bottom
"RPG3","10k","R_0603_1608Metric",87.505000,-6.755000,0.000000,bottom
"RS1","6mR 3W 1%","Sense_3637",39.500000,-43.000000,0.000000,bottom
"RSH1","510k","R_0603_1608Metric",36.000000,-34.000000,0.000000,bottom
"C1","1uF 100V","C_1210_3225Metric",31.000000,-36.000000,0.000000,top
"C3","470uF 25V","CP_Radial_D12.5mm_P5.00mm",105.000000,-39.000000,90.000000,top
"C4","1uF 25V","C_0805_2012Metric",110.500000,-6.500000,0.000000,top
"C5","220uF 25V","CP_Radial_D10.0mm_P5.00mm",119.000000,-20.500000,0.000000,top
"C7","47uF 10V","C_1210_3225Metric",87.500000,-56.500000,0.000000,top
"C8","47uF 10V","C_1210_3225Metric",93.000000,-56.500000,0.000000,top
"C9","100nF","C_0603_1608Metric",95.500000,-99.300000,-90.000000,top
"C10","100nF","C_0603_1608Metric",95.500000,-102.500000,-90.000000,top
"C11","100nF","C_0603_1608Metric",95.500000,-105.700000,-90.000000,top
"C12","100nF","C_0603_1608Metric",95.500000,-108.900000,-90.000000,top
"C13","100nF","C_0603_1608Metric",100.750000,-113.000000,180.000000,top
"C14","100nF","C_0603_1608Metric",111.750000,-113.000000,180.000000,top
"C15","100nF","C_0603_1608Metric",116.000000,-97.250000,90.000000,top
"C16","100nF","C_0603_1608Metric",100.250000,-93.000000,0.000000,top
"C17","4.7uF","C_0805_2012Metric",108.000000,-91.500000,0.000000,top
"C18","100nF","C_0603_1608Metric",112.000000,-18.000000,0.000000,top
"C19","100nF","C_0603_1608Metric",122.000000,-111.000000,0.000000,top
"C20","1uF 10V","C_0603_1608Metric",110.005000,-46.755000,0.000000,top
"C40","100nF","C_0603_1608Metric",127.750000,-36.200000,90.000000,top
"C41","100nF","C_0603_1608Metric",142.250000,-36.200000,90.000000,top
"C42","4.7uF","C_0805_2012Metric",132.500000,-14.500000,180.000000,top
"C43","4.7uF","C_0805_2012Metric",144.700000,-14.000000,0.000000,top
"C44","100nF","C_0603_1608Metric",142.250000,-42.550000,90.000000,top
"CG1","4.7nF 100V","C_0603_1608Metric",25.500000,-26.500000,0.000000,top
"CSS4","22nF","C_0603_1608Metric",106.005000,-46.755000,0.000000,top
"CY1","18pF","C_0603_1608Metric",88.500000,-102.500000,90.000000,top
"CY2","18pF","C_0603_1608Metric",92.000000,-106.500000,0.000000,top
"D1","SMCJ58A","D_SMC",32.000000,-10.500000,0.000000,top
"D2","CAN FD TVS","CAN_TVS",150.000000,-53.000000,0.000000,top
"D3","FLYBACK","D_SOD-123",20.000000,-82.500000,0.000000,top
"D4","FLYBACK","D_SOD-123",20.000000,-103.500000,0.000000,top
"F1","10A 125V","Fuse_4510",22.000000,-13.000000,0.000000,top
"F2","PTC 0.25A","Fuse_1206_3216Metric",62.305000,-86.155000,0.000000,top
"H1","M3_NPTH","",4.000000,-4.000000,0.000000,top
"H2","M3_NPTH","",156.000000,-4.000000,0.000000,top
"H3","M3_NPTH","",156.000000,-126.000000,0.000000,top
"H4","M3_NPTH","",4.000000,-126.000000,0.000000,top
"J1","48V INPUT","MicroFit_2x2",11.000000,-14.500000,0.000000,top
"J2","12V MOTOR AUX","MicroFit_2x2",118.000000,-76.000000,0.000000,top
"J3","JETSON DEVKIT 12V","MicroFit_2x2",117.500000,-32.500000,0.000000,top
"J4","JETSON MCU BACKPLANE","PinHeader_2x10_P2.54mm_Vertical",82.000000,-97.000000,0.000000,top
"J5","CAN A","MicroFit_2x2",149.500000,-64.000000,0.000000,top
"J6","CAN B","MicroFit_2x2",149.500000,-76.000000,0.000000,top
"J10","DUAL ESTOP LOOP","MicroFit_2x2",71.000000,-91.000000,0.000000,top
"J11","SAFETY OUTPUT","MicroFit_2x2",53.000000,-107.000000,0.000000,top
"J12","DUAL MANUAL RESET","MicroFit_2x2",71.000000,-107.000000,0.000000,top
